user_id,daily_played,daily_wins,daily_current_streak,daily_max_streak,daily_distribution,multiplayer_played,multiplayer_wins,multiplayer_rounds_played,multiplayer_total_score,updated_at,friend_code,last_daily_date,pseudo,avatar_index,daily_total_points,daily_current_guesses,daily_current_date
0ca497b5-5d73-4ede-a25d-e5e15f71aad2,149,148,19,129,"[2, 16, 62, 33, 30, 5]",0,0,0,0,2026-08-07 06:59:25.44+00,BUE329,2026-08-07,Karine Vaudo,11,29460,,
19ee7ec6-c5bf-4e7d-8f9f-7550955c2bee,10,10,10,10,"[1, 0, 3, 3, 3, 0]",0,0,0,0,2026-08-06 18:20:02.144+00,3SQ8QZ,2026-08-06,LEANDERSSSS,5,2140,,
3c3b4ce5-4991-4ce3-a88a-223961e646f9,167,166,165,165,"[73, 21, 31, 24, 15, 2]",0,0,0,0,2026-06-24 03:16:43.091+00,PTU414,2026-06-24,Stantera,7,41970,,
4ed395c8-35dd-4b0c-b427-e69199e75f62,191,190,161,161,"[82, 19, 34, 32, 18, 5]",0,0,0,0,2026-08-07 07:20:16.214+00,MVN626,2026-08-07,Myriade,6,47140,,
4f86fc73-8b9b-4234-bd6a-7e72efb18968,102,101,61,61,"[4, 7, 21, 27, 24, 18]",0,0,0,0,2026-05-27 12:06:20.324+00,KQU724,2026-05-27,Solene2b,7,20550,,
7cb8f72e-c944-4078-9f55-d090d9f66542,4,4,4,4,"[1, 1, 0, 0, 0, 2]",1,0,2,15,2026-01-05 16:11:34.179+00,C26727,2026-01-05,Livice,11,1000,,
96fcbe49-e375-4e1c-9f2e-3dfcc636aa61,1,1,1,1,"[1, 0, 0, 0, 0, 0]",0,0,0,0,2026-01-02 15:53:25.531+00,WGMDFG,2026-01-02,PO,5,250,,
c6272c7f-7a80-43e8-ac18-d5c45ca37564,4,4,4,4,"[3, 1, 0, 0, 0, 0]",1,1,2,280,2026-02-08 22:20:10.163+00,DJWSTH,2026-02-08,J,1,1000,"[""CARREES"",""CANARDS""]",2026-06-06
d16c4a31-5f9f-4b23-a740-769435580f70,1,1,1,1,"[0, 1, 0, 0, 0, 0]",1,1,2,110,2026-01-03 16:02:08.071+00,973046,2026-01-03,Leanderssss,8,250,,
e63b19fc-a8b5-46f4-b57b-458c756d1f30,178,170,1,129,"[70, 15, 37, 26, 16, 6]",0,0,0,0,2026-08-07 07:21:28.497+00,TXL727,2026-08-07,Bertrand Raeth,1,41400,,
